d_date_id,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id,Numerator
20210703,1,0,17,2,4,29.10815587407845
20210703,1,0,17,5,0,1.1758195722283724
20210703,1,0,17,2,6,197.4627056047398
20210703,1,0,18,2,4,8527472.346957352
20210703,1,0,18,5,0,2683073490.1131954
20210703,1,0,18,2,6,197559834.42581782
20210704,1,0,17,2,4,28.72325916982029
20210704,1,0,17,5,0,1.188060646032003
20210704,1,0,17,2,6,219.1754693958985
20210704,1,0,18,2,4,2979301.0241978685
20210704,1,0,18,5,0,2246236976.778867
20210704,1,0,18,2,6,311445285.70758605
20210703,1,0,20,2,4,20213.0
20210703,1,0,20,5,0,521454.0
20210703,1,0,20,2,6,247960.0
20210704,1,0,20,2,4,20242.0
20210704,1,0,20,5,0,522106.0
20210704,1,0,20,2,6,248442.0
20210703,1,0,21,2,4,154652.0
20210703,1,0,21,5,0,6662.0
20210703,1,0,21,2,6,14216.0
20210704,1,0,21,2,4,154652.0
20210704,1,0,21,5,0,6662.0
20210704,1,0,21,2,6,14216.0
